WEATHER_TIME,CITY_ID,CITY_NAME,COUNTRY,CITY_LATITUDE,CITY_LONGITUDE,CLOUDS,HUMIDITY,MIN_TEMP,MAX_TEMP,WEATHER,WEATHER_DESC,WIND_DEG,WIND_SPEED
2017-10-25T21:02:23.000Z,5128581,New York,US,40.714272,40.714272,20,51,289.15,292.15,Clouds,few clouds,278,2.56
2017-10-25T22:05:47.000Z,5128581,New York,US,40.714272,40.714272,90,51,288.15,291.15,Clouds,overcast clouds,278,2.56
2017-10-28T02:06:34.000Z,5128581,New York,US,40.714272,40.714272,1,62,278.15,288.15,Clear,sky is clear,201.001,3.63
2017-10-28T03:02:26.000Z,5128581,New York,US,40.714272,40.714272,1,62,277.15,287.15,Clear,sky is clear,201.001,3.63
2017-10-16T15:02:34.000Z,5128581,New York,US,40.714272,40.714272,1,58,285.15,287.15,Clear,sky is clear,328.503,4.46
2017-10-16T16:05:28.000Z,5128581,New York,US,40.714272,40.714272,40,62,286.15,287.15,Clouds,scattered clouds,300,4.1
2017-11-02T06:06:16.000Z,5128581,New York,US,40.714272,40.714272,90,82,282.15,289.15,Clouds,overcast clouds,70,2.1
2017-11-02T07:04:43.000Z,5128581,New York,US,40.714272,40.714272,90,82,283.15,290.15,Clouds,overcast clouds,100,1.5
2017-11-04T18:05:48.000Z,5128581,New York,US,40.714272,40.714272,1,46,285.15,286.15,Clear,sky is clear,0,2.6
2017-11-04T19:02:11.000Z,5128581,New York,US,40.714272,40.714272,1,47,285.15,287.15,Clear,sky is clear,0,1.5
2017-11-10T17:06:17.000Z,5128581,New York,US,40.714272,40.714272,1,29,274.15,276.15,Clear,sky is clear,0,2.6
2017-11-10T18:03:10.000Z,5128581,New York,US,40.714272,40.714272,1,31,274.15,276.15,Clear,sky is clear,310,5.1
2017-11-13T20:06:21.000Z,5128581,New York,US,40.714272,40.714272,90,70,281.15,282.15,Clouds,overcast clouds,0,3.1
2017-11-13T21:02:37.000Z,5128581,New York,US,40.714272,40.714272,90,65,281.15,282.15,Clouds,overcast clouds,30,4.1
2017-11-05T19:02:15.000Z,5128581,New York,US,40.714272,40.714272,90,93,285.15,290.15,Mist,mist,90,2.6
2017-11-05T20:05:20.000Z,5128581,New York,US,40.714272,40.714272,90,93,286.15,290.15,Mist,mist,50,1.5
2017-11-28T08:06:59.000Z,5128581,New York,US,40.714272,40.714272,75,51,269.15,277.15,Clouds,broken clouds,30,2.6
2017-11-28T09:02:19.000Z,5128581,New York,US,40.714272,40.714272,1,55,269.15,277.15,Clear,sky is clear,0,2.6
2017-12-03T18:03:51.000Z,5128581,New York,US,40.714272,40.714272,90,66,280.15,282.15,Clouds,overcast clouds,140,1.5
2017-12-03T20:04:40.000Z,5128581,New York,US,40.714272,40.714272,90,75,280.15,282.15,Rain,light rain,282.001,0.82
2017-12-07T05:05:27.000Z,5128581,New York,US,40.714272,40.714272,75,44,272.15,279.15,Clouds,broken clouds,249,3.57
2017-12-07T06:02:29.000Z,5128581,New York,US,40.714272,40.714272,90,41,273.15,279.15,Clouds,overcast clouds,240,4.6
2017-12-12T16:07:32.000Z,5128581,New York,US,40.714272,40.714272,90,71,278.15,284.15,Rain,light rain,170,3.6
2017-12-12T17:02:34.000Z,5128581,New York,US,40.714272,40.714272,90,66,278.15,284.15,Rain,light rain,260,3.6
2017-12-18T14:02:30.000Z,5128581,New York,US,40.714272,40.714272,90,86,274.15,277.15,Mist,mist,10,2.1
2017-12-18T15:05:23.000Z,5128581,New York,US,40.714272,40.714272,90,80,274.15,277.15,Haze,haze,29.5006,1.7
2017-12-24T22:05:29.000Z,5128581,New York,US,40.714272,40.714272,40,64,275.15,277.15,Clouds,scattered clouds,90,3.6
2017-12-24T23:02:27.000Z,5128581,New York,US,40.714272,40.714272,90,64,275.15,278.15,Clouds,overcast clouds,80,4.6
2017-12-24T18:02:55.000Z,5128581,New York,US,40.714272,40.714272,1,55,276.15,277.15,Clear,sky is clear,0,3.1
2017-12-24T19:05:32.000Z,5128581,New York,US,40.714272,40.714272,1,55,276.15,277.15,Clear,sky is clear,0,3.1
2017-12-30T18:02:59.000Z,5128581,New York,US,40.714272,40.714272,90,85,265.15,267.15,Snow,light snow,215.502,2.5
2017-12-30T19:05:41.000Z,5128581,New York,US,40.714272,40.714272,90,79,266.15,267.15,Haze,haze,290,3.1
2018-01-03T19:02:23.000Z,5128581,New York,US,40.714272,40.714272,1,28,269.15,271.15,Clear,sky is clear,0,1.5
2018-01-03T20:05:17.000Z,5128581,New York,US,40.714272,40.714272,1,30,269.15,271.15,Clear,sky is clear,136,0.71
2018-01-10T00:03:48.000Z,5128581,New York,US,40.714272,40.714272,1,48,274.15,277.15,Clear,sky is clear,316.5,4.08
2018-01-10T01:04:30.000Z,5128581,New York,US,40.714272,40.714272,1,51,273.15,276.15,Clear,sky is clear,0,2.6
2018-01-13T14:05:23.000Z,5128581,New York,US,40.714272,40.714272,90,68,270.15,275.15,Clouds,overcast clouds,280,6.2
2018-01-13T15:04:24.000Z,5128581,New York,US,40.714272,40.714272,40,63,270.15,273.15,Clouds,scattered clouds,310,6.2
2018-01-20T00:05:30.000Z,5128581,New York,US,40.714272,40.714272,1,44,270.15,276.15,Clear,sky is clear,250,3.1
2018-01-20T01:02:44.000Z,5128581,New York,US,40.714272,40.714272,1,41,268.15,277.15,Clear,sky is clear,240,3.1
2018-01-24T10:05:30.000Z,5128581,New York,US,40.714272,40.714272,90,56,277.15,280.15,Clouds,overcast clouds,250,4.6
2018-01-24T11:03:09.000Z,5128581,New York,US,40.714272,40.714272,90,56,277.15,280.15,Clouds,overcast clouds,0,2.1
2018-01-27T02:05:04.000Z,5128581,New York,US,40.714272,40.714272,1,55,271.15,275.15,Clear,sky is clear,184.002,3.56
2018-01-27T03:02:38.000Z,5128581,New York,US,40.714272,40.714272,1,59,270.15,275.15,Clear,sky is clear,184.002,3.56
2018-01-28T12:02:30.000Z,5128581,New York,US,40.714272,40.714272,90,93,280.15,283.15,Rain,moderate rain,0,2.6
2018-01-28T13:05:19.000Z,5128581,New York,US,40.714272,40.714272,90,93,279.15,283.15,Rain,moderate rain,270,2.6
2018-02-01T14:05:53.000Z,5128581,New York,US,40.714272,40.714272,75,64,271.15,276.15,Clouds,broken clouds,202.502,3.81
2018-02-01T15:02:29.000Z,5128581,New York,US,40.714272,40.714272,90,64,272.15,276.15,Clouds,overcast clouds,240,1.5
2018-01-27T00:05:28.000Z,5128581,New York,US,40.714272,40.714272,1,55,271.15,274.15,Clear,sky is clear,161.003,3.21
